sample population group sex
HG00262_2 GBR GBR 1
HG00263_1 GBR GBR 1
HG00263_2 GBR GBR 1
HG00264_1 GBR GBR 1
HG00264_2 GBR GBR 1
HG00265_1 GBR GBR 1
HG00265_2 GBR GBR 1
HG00266_1 FIN FIN 1
HG00266_2 FIN FIN 1
HG00267_1 FIN FIN 1
HG00267_2 FIN FIN 1
HG00268_1 FIN FIN 1
HG00268_2 FIN FIN 1
HG00269_1 FIN FIN 1
HG00269_2 FIN FIN 1
HG00271_1 FIN FIN 1
HG00271_2 FIN FIN 1
HG00272_1 FIN FIN 1
HG00272_2 FIN FIN 1
HG00273_1 FIN FIN 1
HG00273_2 FIN FIN 1
HG00274_1 FIN FIN 1
HG00274_2 FIN FIN 1
HG00275_1 FIN FIN 1
HG00275_2 FIN FIN 1
HG00276_1 FIN FIN 1
HG00276_2 FIN FIN 1
HG00277_1 FIN FIN 1
HG00277_2 FIN FIN 1
HG00278_1 FIN FIN 1
HG00278_2 FIN FIN 1
HG00280_1 FIN FIN 1
HG00280_2 FIN FIN 1
HG00281_1 FIN FIN 1
HG00281_2 FIN FIN 1
HG00282_1 FIN FIN 1
HG00282_2 FIN FIN 1
HG00284_1 FIN FIN 1
HG00284_2 FIN FIN 1
HG00285_1 FIN FIN 1
HG00285_2 FIN FIN 1
HG00288_1 FIN FIN 1
HG00288_2 FIN FIN 1
HG00290_1 FIN FIN 1
HG00290_2 FIN FIN 1
HG00304_1 FIN FIN 1
HG00304_2 FIN FIN 1
HG00306_1 FIN FIN 1
HG00306_2 FIN FIN 1
HG00308_1 FIN FIN 1
HG00308_2 FIN FIN 1
HG00309_1 FIN FIN 1
HG00309_2 FIN FIN 1
HG00310_1 FIN FIN 1
HG00310_2 FIN FIN 1
HG00311_1 FIN FIN 1
HG00311_2 FIN FIN 1
HG00313_1 FIN FIN 1
HG00313_2 FIN FIN 1
HG00315_1 FIN FIN 1
HG00315_2 FIN FIN 1
HG00318_1 FIN FIN 1
HG00318_2 FIN FIN 1
HG00319_1 FIN FIN 1
HG00319_2 FIN FIN 1
HG00320_1 FIN FIN 1
HG00320_2 FIN FIN 1
HG00321_1 FIN FIN 1
HG00321_2 FIN FIN 1
HG00323_1 FIN FIN 1
HG00323_2 FIN FIN 1
HG00324_1 FIN FIN 1
HG00324_2 FIN FIN 1
HG00325_1 FIN FIN 1
HG00325_2 FIN FIN 1
HG00326_1 FIN FIN 1
HG00326_2 FIN FIN 1
HG00327_1 FIN FIN 1
HG00327_2 FIN FIN 1
HG00328_1 FIN FIN 1
HG00328_2 FIN FIN 1
HG00329_1 FIN FIN 1
HG00329_2 FIN FIN 1
HG00330_1 FIN FIN 1
HG00330_2 FIN FIN 1
HG00331_1 FIN FIN 1
HG00331_2 FIN FIN 1
HG00332_1 FIN FIN 1
HG00332_2 FIN FIN 1
HG00334_1 FIN FIN 1
HG00334_2 FIN FIN 1
HG00335_1 FIN FIN 1
HG00335_2 FIN FIN 1
HG00336_1 FIN FIN 1
HG00336_2 FIN FIN 1
HG00337_1 FIN FIN 1
HG00337_2 FIN FIN 1
HG00338_1 FIN FIN 1
HG00338_2 FIN FIN 1
HG00339_1 FIN FIN 1
HG00339_2 FIN FIN 1
HG00341_1 FIN FIN 1
HG00341_2 FIN FIN 1
HG00342_1 FIN FIN 1
HG00342_2 FIN FIN 1
HG00343_1 FIN FIN 1
HG00343_2 FIN FIN 1
HG00344_1 FIN FIN 1
HG00344_2 FIN FIN 1
HG00345_1 FIN FIN 1
HG00345_2 FIN FIN 1
HG00346_1 FIN FIN 1
HG00346_2 FIN FIN 1
HG00349_1 FIN FIN 1
HG00349_2 FIN FIN 1
HG00350_1 FIN FIN 1
HG00350_2 FIN FIN 1
HG00351_1 FIN FIN 1
HG00351_2 FIN FIN 1
HG00353_1 FIN FIN 1
HG00353_2 FIN FIN 1
HG00355_1 FIN FIN 1
HG00355_2 FIN FIN 1
HG00356_1 FIN FIN 1
HG00356_2 FIN FIN 1
HG00357_1 FIN FIN 1
HG00357_2 FIN FIN 1
HG00358_1 FIN FIN 1
HG00358_2 FIN FIN 1
HG00360_1 FIN FIN 1
HG00360_2 FIN FIN 1
HG00361_1 FIN FIN 1
HG00361_2 FIN FIN 1
HG00362_1 FIN FIN 1
HG00362_2 FIN FIN 1
HG00364_1 FIN FIN 1
HG00364_2 FIN FIN 1
HG00365_1 FIN FIN 1
HG00365_2 FIN FIN 1
HG00366_1 FIN FIN 1
HG00366_2 FIN FIN 1
HG00367_1 FIN FIN 1
HG00367_2 FIN FIN 1
HG00368_1 FIN FIN 1
HG00368_2 FIN FIN 1
HG00369_1 FIN FIN 1
HG00369_2 FIN FIN 1
HG00371_1 FIN FIN 1
HG00371_2 FIN FIN 1
HG00372_1 FIN FIN 1
HG00372_2 FIN FIN 1
HG00373_1 FIN FIN 1
HG00373_2 FIN FIN 1
HG00375_1 FIN FIN 1
HG00375_2 FIN FIN 1
HG00376_1 FIN FIN 1
HG00376_2 FIN FIN 1
HG00378_1 FIN FIN 1
HG00378_2 FIN FIN 1
HG00379_1 FIN FIN 1
HG00379_2 FIN FIN 1
HG00380_1 FIN FIN 1
HG00380_2 FIN FIN 1
HG00381_1 FIN FIN 1
HG00381_2 FIN FIN 1
HG00382_1 FIN FIN 1
