sample population group sex
HG01104_1 PUR PUR 1
HG01104_2 PUR PUR 1
HG01105_1 PUR PUR 1
HG01105_2 PUR PUR 1
HG01106_1 PUR PUR 1
HG01106_2 PUR PUR 1
HG01107_1 PUR PUR 1
HG01107_2 PUR PUR 1
HG01108_1 PUR PUR 1
HG01108_2 PUR PUR 1
HG01109_1 PUR PUR 1
HG01109_2 PUR PUR 1
HG01110_1 PUR PUR 1
HG01110_2 PUR PUR 1
HG01111_1 PUR PUR 1
HG01111_2 PUR PUR 1
HG01112_1 CLM CLM 1
HG01112_2 CLM CLM 1
HG01113_1 CLM CLM 1
HG01113_2 CLM CLM 1
HG01114_1 CLM CLM 1
HG01114_2 CLM CLM 1
HG01119_1 CLM CLM 1
HG01119_2 CLM CLM 1
HG01121_1 CLM CLM 1
HG01121_2 CLM CLM 1
HG01122_1 CLM CLM 1
HG01122_2 CLM CLM 1
HG01124_1 CLM CLM 1
HG01124_2 CLM CLM 1
HG01125_1 CLM CLM 1
HG01125_2 CLM CLM 1
HG01126_1 CLM CLM 1
HG01126_2 CLM CLM 1
HG01130_1 CLM CLM 1
HG01130_2 CLM CLM 1
HG01131_1 CLM CLM 1
HG01131_2 CLM CLM 1
HG01133_1 CLM CLM 1
HG01133_2 CLM CLM 1
HG01134_1 CLM CLM 1
HG01134_2 CLM CLM 1
HG01135_1 CLM CLM 1
HG01135_2 CLM CLM 1
HG01136_1 CLM CLM 1
HG01136_2 CLM CLM 1
HG01137_1 CLM CLM 1
HG01137_2 CLM CLM 1
HG01138_1 CLM CLM 1
HG01138_2 CLM CLM 1
HG01139_1 CLM CLM 1
HG01139_2 CLM CLM 1
HG01140_1 CLM CLM 1
HG01140_2 CLM CLM 1
HG01141_1 CLM CLM 1
HG01141_2 CLM CLM 1
HG01142_1 CLM CLM 1
HG01142_2 CLM CLM 1
HG01148_1 CLM CLM 1
HG01148_2 CLM CLM 1
HG01149_1 CLM CLM 1
HG01149_2 CLM CLM 1
HG01150_1 CLM CLM 1
HG01150_2 CLM CLM 1
HG01161_1 PUR PUR 1
HG01161_2 PUR PUR 1
HG01162_1 PUR PUR 1
HG01162_2 PUR PUR 1
HG01164_1 PUR PUR 1
HG01164_2 PUR PUR 1
HG01167_1 PUR PUR 1
HG01167_2 PUR PUR 1
HG01168_1 PUR PUR 1
HG01168_2 PUR PUR 1
HG01169_1 PUR PUR 1
HG01169_2 PUR PUR 1
HG01170_1 PUR PUR 1
HG01170_2 PUR PUR 1
HG01171_1 PUR PUR 1
HG01171_2 PUR PUR 1
HG01172_1 PUR PUR 1
HG01172_2 PUR PUR 1
HG01173_1 PUR PUR 1
HG01173_2 PUR PUR 1
HG01174_1 PUR PUR 1
HG01174_2 PUR PUR 1
HG01175_1 PUR PUR 1
HG01175_2 PUR PUR 1
HG01176_1 PUR PUR 1
HG01176_2 PUR PUR 1
HG01177_1 PUR PUR 1
HG01177_2 PUR PUR 1
HG01178_1 PUR PUR 1
HG01178_2 PUR PUR 1
HG01182_1 PUR PUR 1
HG01182_2 PUR PUR 1
HG01183_1 PUR PUR 1
HG01183_2 PUR PUR 1
HG01184_1 PUR PUR 1
HG01184_2 PUR PUR 1
HG01187_1 PUR PUR 1
HG01187_2 PUR PUR 1
HG01188_1 PUR PUR 1
HG01188_2 PUR PUR 1
HG01189_1 PUR PUR 1
HG01189_2 PUR PUR 1
HG01190_1 PUR PUR 1
HG01190_2 PUR PUR 1
HG01191_1 PUR PUR 1
HG01191_2 PUR PUR 1
HG01192_1 PUR PUR 1
HG01192_2 PUR PUR 1
HG01197_1 PUR PUR 1
HG01197_2 PUR PUR 1
HG01198_1 PUR PUR 1
HG01198_2 PUR PUR 1
HG01199_1 PUR PUR 1
HG01199_2 PUR PUR 1
HG01200_1 PUR PUR 1
HG01200_2 PUR PUR 1
HG01204_1 PUR PUR 1
HG01204_2 PUR PUR 1
HG01205_1 PUR PUR 1
HG01205_2 PUR PUR 1
HG01206_1 PUR PUR 1
HG01206_2 PUR PUR 1
HG01241_1 PUR PUR 1
HG01241_2 PUR PUR 1
HG01242_1 PUR PUR 1
HG01242_2 PUR PUR 1
HG01243_1 PUR PUR 1
HG01243_2 PUR PUR 1
HG01247_1 PUR PUR 1
HG01247_2 PUR PUR 1
HG01248_1 PUR PUR 1
HG01248_2 PUR PUR 1
HG01249_1 PUR PUR 1
HG01249_2 PUR PUR 1
HG01250_1 CLM CLM 1
HG01250_2 CLM CLM 1
HG01251_1 CLM CLM 1
HG01251_2 CLM CLM 1
HG01252_1 CLM CLM 1
HG01252_2 CLM CLM 1
HG01253_1 CLM CLM 1
HG01253_2 CLM CLM 1
HG01254_1 CLM CLM 1
HG01254_2 CLM CLM 1
HG01255_1 CLM CLM 1
HG01255_2 CLM CLM 1
HG01256_1 CLM CLM 1
HG01256_2 CLM CLM 1
HG01257_1 CLM CLM 1
HG01257_2 CLM CLM 1
HG01258_1 CLM CLM 1
HG01258_2 CLM CLM 1
HG01259_1 CLM CLM 1
HG01259_2 CLM CLM 1
HG01260_1 CLM CLM 1
HG01260_2 CLM CLM 1
HG01261_1 CLM CLM 1
HG01261_2 CLM CLM 1
HG01269_1 CLM CLM 1
HG01269_2 CLM CLM 1
HG01271_1 CLM CLM 1
HG01271_2 CLM CLM 1
HG01272_1 CLM CLM 1
HG01272_2 CLM CLM 1
HG01273_1 CLM CLM 1
HG01273_2 CLM CLM 1
HG01274_1 CLM CLM 1
HG01274_2 CLM CLM 1
HG01275_1 CLM CLM 1
HG01275_2 CLM CLM 1
HG01276_1 CLM CLM 1
HG01276_2 CLM CLM 1
HG01277_1 CLM CLM 1
HG01277_2 CLM CLM 1
HG01278_1 CLM CLM 1
HG01278_2 CLM CLM 1
HG01279_1 CLM CLM 1
HG01279_2 CLM CLM 1
HG01280_1 CLM CLM 1
HG01280_2 CLM CLM 1
HG01281_1 CLM CLM 1
HG01281_2 CLM CLM 1
HG01284_1 CLM CLM 1
HG01284_2 CLM CLM 1
HG01286_1 PUR PUR 1
HG01286_2 PUR PUR 1
HG01302_1 PUR PUR 1
HG01302_2 PUR PUR 1
HG01303_1 PUR PUR 1
HG01303_2 PUR PUR 1
HG01305_1 PUR PUR 1
HG01305_2 PUR PUR 1
HG01308_1 PUR PUR 1
HG01308_2 PUR PUR 1
HG01311_1 PUR PUR 1
HG01311_2 PUR PUR 1
HG01312_1 PUR PUR 1
HG01312_2 PUR PUR 1
HG01323_1 PUR PUR 1
HG01323_2 PUR PUR 1
HG01325_1 PUR PUR 1
HG01325_2 PUR PUR 1
HG01326_1 PUR PUR 1
HG01326_2 PUR PUR 1
HG01334_1 GBR GBR 1
HG01334_2 GBR GBR 1
HG01341_1 CLM CLM 1
HG01341_2 CLM CLM 1
HG01342_1 CLM CLM 1
HG01342_2 CLM CLM 1
HG01343_1 CLM CLM 1
HG01343_2 CLM CLM 1
HG01344_1 CLM CLM 1
HG01344_2 CLM CLM 1
HG01345_1 CLM CLM 1
HG01345_2 CLM CLM 1
HG01346_1 CLM CLM 1
HG01346_2 CLM CLM 1
HG01347_1 CLM CLM 1
HG01347_2 CLM CLM 1
HG01348_1 CLM CLM 1
HG01348_2 CLM CLM 1
HG01349_1 CLM CLM 1
HG01349_2 CLM CLM 1
HG01350_1 CLM CLM 1
HG01350_2 CLM CLM 1
HG01351_1 CLM CLM 1
HG01351_2 CLM CLM 1
HG01352_1 CLM CLM 1
HG01352_2 CLM CLM 1
HG01353_1 CLM CLM 1
HG01353_2 CLM CLM 1
HG01354_1 CLM CLM 1
HG01354_2 CLM CLM 1
HG01355_1 CLM CLM 1
HG01355_2 CLM CLM 1
HG01356_1 CLM CLM 1
HG01356_2 CLM CLM 1
HG01357_1 CLM CLM 1
HG01357_2 CLM CLM 1
HG01358_1 CLM CLM 1
HG01358_2 CLM CLM 1
HG01359_1 CLM CLM 1
HG01359_2 CLM CLM 1
HG01360_1 CLM CLM 1
HG01360_2 CLM CLM 1
HG01361_1 CLM CLM 1
HG01361_2 CLM CLM 1
HG01362_1 CLM CLM 1
HG01362_2 CLM CLM 1
HG01363_1 CLM CLM 1
HG01363_2 CLM CLM 1
HG01365_1 CLM CLM 1
HG01365_2 CLM CLM 1
HG01366_1 CLM CLM 1
HG01366_2 CLM CLM 1
HG01367_1 CLM CLM 1
HG01367_2 CLM CLM 1
HG01369_1 CLM CLM 1
HG01369_2 CLM CLM 1
HG01372_1 CLM CLM 1
HG01372_2 CLM CLM 1
HG01374_1 CLM CLM 1
HG01374_2 CLM CLM 1
HG01375_1 CLM CLM 1
HG01375_2 CLM CLM 1
HG01376_1 CLM CLM 1
HG01376_2 CLM CLM 1
HG01377_1 CLM CLM 1
HG01377_2 CLM CLM 1
HG01378_1 CLM CLM 1
HG01378_2 CLM CLM 1
HG01379_1 CLM CLM 1
HG01379_2 CLM CLM 1
HG01383_1 CLM CLM 1
HG01383_2 CLM CLM 1
HG01384_1 CLM CLM 1
HG01384_2 CLM CLM 1
HG01385_1 CLM CLM 1
HG01385_2 CLM CLM 1
HG01389_1 CLM CLM 1
HG01389_2 CLM CLM 1
HG01390_1 CLM CLM 1
HG01390_2 CLM CLM 1
HG01391_1 CLM CLM 1
HG01391_2 CLM CLM 1
HG01392_1 PUR PUR 1
HG01392_2 PUR PUR 1
HG01393_1 PUR PUR 1
HG01393_2 PUR PUR 1
HG01395_1 PUR PUR 1
HG01395_2 PUR PUR 1
HG01396_1 PUR PUR 1
HG01396_2 PUR PUR 1
HG01398_1 PUR PUR 1
HG01398_2 PUR PUR 1
HG01402_1 PUR PUR 1
HG01402_2 PUR PUR 1
HG01403_1 PUR PUR 1
HG01403_2 PUR PUR 1
HG01405_1 PUR PUR 1
HG01405_2 PUR PUR 1
HG01412_1 PUR PUR 1
HG01412_2 PUR PUR 1
HG01413_1 PUR PUR 1
HG01413_2 PUR PUR 1
HG01414_1 PUR PUR 1
HG01414_2 PUR PUR 1
HG01431_1 CLM CLM 1
HG01431_2 CLM CLM 1
HG01432_1 CLM CLM 1
HG01432_2 CLM CLM 1
HG01433_1 CLM CLM 1
HG01433_2 CLM CLM 1
HG01435_1 CLM CLM 1
HG01435_2 CLM CLM 1
HG01437_1 CLM CLM 1
HG01437_2 CLM CLM 1
HG01438_1 CLM CLM 1
HG01438_2 CLM CLM 1
HG01439_1 CLM CLM 1
HG01439_2 CLM CLM 1
HG01440_1 CLM CLM 1
HG01440_2 CLM CLM 1
HG01441_1 CLM CLM 1
HG01441_2 CLM CLM 1
HG01443_1 CLM CLM 1
HG01443_2 CLM CLM 1
HG01444_1 CLM CLM 1
HG01444_2 CLM CLM 1
HG01447_1 CLM CLM 1
HG01447_2 CLM CLM 1
HG01455_1 CLM CLM 1
HG01455_2 CLM CLM 1
HG01456_1 CLM CLM 1
HG01456_2 CLM CLM 1
HG01457_1 CLM CLM 1
HG01457_2 CLM CLM 1
HG01459_1 CLM CLM 1
HG01459_2 CLM CLM 1
HG01461_1 CLM CLM 1
HG01461_2 CLM CLM 1
HG01462_1 CLM CLM 1
HG01462_2 CLM CLM 1
HG01463_1 CLM CLM 1
HG01463_2 CLM CLM 1
HG01464_1 CLM CLM 1
HG01464_2 CLM CLM 1
HG01465_1 CLM CLM 1
HG01465_2 CLM CLM 1
HG01466_1 CLM CLM 1
HG01466_2 CLM CLM 1
HG01468_1 CLM CLM 1
HG01468_2 CLM CLM 1
HG01474_1 CLM CLM 1
HG01474_2 CLM CLM 1
HG01479_1 CLM CLM 1
HG01479_2 CLM CLM 1
HG01485_1 CLM CLM 1
HG01485_2 CLM CLM 1
HG01486_1 CLM CLM 1
HG01486_2 CLM CLM 1
HG01488_1 CLM CLM 1
HG01488_2 CLM CLM 1
HG01489_1 CLM CLM 1
HG01489_2 CLM CLM 1
HG01490_1 CLM CLM 1
HG01490_2 CLM CLM 1
HG01491_1 CLM CLM 1
HG01491_2 CLM CLM 1
HG01492_1 CLM CLM 1
HG01492_2 CLM CLM 1
HG01493_1 CLM CLM 1
HG01493_2 CLM CLM 1
HG01494_1 CLM CLM 1
HG01494_2 CLM CLM 1
HG01495_1 CLM CLM 1
HG01495_2 CLM CLM 1
HG01496_1 CLM CLM 1
HG01496_2 CLM CLM 1
HG01497_1 CLM CLM 1
HG01497_2 CLM CLM 1
HG01498_1 CLM CLM 1
HG01498_2 CLM CLM 1
HG01499_1 CLM CLM 1
HG01499_2 CLM CLM 1
HG01500_1 IBS IBS 1
HG01500_2 IBS IBS 1
HG01501_1 IBS IBS 1
HG01501_2 IBS IBS 1
HG01502_1 IBS IBS 1
HG01502_2 IBS IBS 1
HG01503_1 IBS IBS 1
HG01503_2 IBS IBS 1
HG01504_1 IBS IBS 1
HG01504_2 IBS IBS 1
HG01505_1 IBS IBS 1
HG01505_2 IBS IBS 1
HG01506_1 IBS IBS 1
HG01506_2 IBS IBS 1
HG01507_1 IBS IBS 1
HG01507_2 IBS IBS 1
HG01508_1 IBS IBS 1
HG01508_2 IBS IBS 1
HG01509_1 IBS IBS 1
HG01509_2 IBS IBS 1
HG01510_1 IBS IBS 1
HG01510_2 IBS IBS 1
HG01511_1 IBS IBS 1
HG01511_2 IBS IBS 1
HG01512_1 IBS IBS 1
HG01512_2 IBS IBS 1
HG01513_1 IBS IBS 1
HG01513_2 IBS IBS 1
HG01514_1 IBS IBS 1
HG01514_2 IBS IBS 1
HG01515_1 IBS IBS 1
HG01515_2 IBS IBS 1
HG01516_1 IBS IBS 1
HG01516_2 IBS IBS 1
HG01517_1 IBS IBS 1
HG01517_2 IBS IBS 1
HG01518_1 IBS IBS 1
HG01518_2 IBS IBS 1
HG01519_1 IBS IBS 1
HG01519_2 IBS IBS 1
HG01520_1 IBS IBS 1
HG01520_2 IBS IBS 1
HG01521_1 IBS IBS 1
HG01521_2 IBS IBS 1
HG01522_1 IBS IBS 1
HG01522_2 IBS IBS 1
HG01523_1 IBS IBS 1
HG01523_2 IBS IBS 1
HG01524_1 IBS IBS 1
HG01524_2 IBS IBS 1
HG01525_1 IBS IBS 1
HG01525_2 IBS IBS 1
HG01526_1 IBS IBS 1
HG01526_2 IBS IBS 1
HG01527_1 IBS IBS 1
HG01527_2 IBS IBS 1
HG01528_1 IBS IBS 1
HG01528_2 IBS IBS 1
HG01529_1 IBS IBS 1
HG01529_2 IBS IBS 1
HG01530_1 IBS IBS 1
HG01530_2 IBS IBS 1
HG01531_1 IBS IBS 1
HG01531_2 IBS IBS 1
HG01532_1 IBS IBS 1
HG01532_2 IBS IBS 1
HG01536_1 IBS IBS 1
HG01536_2 IBS IBS 1
HG01537_1 IBS IBS 1
HG01537_2 IBS IBS 1
HG01538_1 IBS IBS 1
HG01538_2 IBS IBS 1
HG01550_1 CLM CLM 1
HG01550_2 CLM CLM 1
HG01551_1 CLM CLM 1
HG01551_2 CLM CLM 1
HG01552_1 CLM CLM 1
HG01552_2 CLM CLM 1
HG01556_1 CLM CLM 1
HG01556_2 CLM CLM 1
HG01565_1 PEL PEL 1
HG01565_2 PEL PEL 1
HG01566_1 PEL PEL 1
HG01566_2 PEL PEL 1
HG01567_1 PEL PEL 1
HG01567_2 PEL PEL 1
HG01571_1 PEL PEL 1
HG01571_2 PEL PEL 1
HG01572_1 PEL PEL 1
HG01572_2 PEL PEL 1
HG01573_1 PEL PEL 1
HG01573_2 PEL PEL 1
HG01577_1 PEL PEL 1
HG01577_2 PEL PEL 1
HG01578_1 PEL PEL 1
HG01578_2 PEL PEL 1
HG01579_1 PEL PEL 1
HG01579_2 PEL PEL 1
HG01583_1 PJL PJL 1
HG01583_2 PJL PJL 1
HG01586_1 PJL PJL 1
HG01586_2 PJL PJL 1
HG01589_1 PJL PJL 1
HG01589_2 PJL PJL 1
HG01593_1 PJL PJL 1
HG01593_2 PJL PJL 1
HG01595_1 KHV KHV 1
HG01595_2 KHV KHV 1
HG01596_1 KHV KHV 1
HG01596_2 KHV KHV 1
HG01597_1 KHV KHV 1
HG01597_2 KHV KHV 1
HG01598_1 KHV KHV 1
HG01598_2 KHV KHV 1
HG01599_1 KHV KHV 1
HG01599_2 KHV KHV 1
HG01600_1 KHV KHV 1
HG01600_2 KHV KHV 1
HG01601_1 IBS IBS 1
HG01601_2 IBS IBS 1
HG01602_1 IBS IBS 1
HG01602_2 IBS IBS 1
HG01603_1 IBS IBS 1
HG01603_2 IBS IBS 1
HG01604_1 IBS IBS 1
HG01604_2 IBS IBS 1
HG01605_1 IBS IBS 1
HG01605_2 IBS IBS 1
HG01606_1 IBS IBS 1
HG01606_2 IBS IBS 1
HG01607_1 IBS IBS 1
HG01607_2 IBS IBS 1
HG01608_1 IBS IBS 1
HG01608_2 IBS IBS 1
HG01609_1 IBS IBS 1
HG01609_2 IBS IBS 1
HG01610_1 IBS IBS 1
HG01610_2 IBS IBS 1
HG01611_1 IBS IBS 1
HG01611_2 IBS IBS 1
HG01612_1 IBS IBS 1
HG01612_2 IBS IBS 1
HG01613_1 IBS IBS 1
HG01613_2 IBS IBS 1
HG01614_1 IBS IBS 1
HG01614_2 IBS IBS 1
HG01615_1 IBS IBS 1
HG01615_2 IBS IBS 1
HG01616_1 IBS IBS 1
HG01616_2 IBS IBS 1
HG01617_1 IBS IBS 1
HG01617_2 IBS IBS 1
HG01618_1 IBS IBS 1
HG01618_2 IBS IBS 1
HG01619_1 IBS IBS 1
HG01619_2 IBS IBS 1
HG01620_1 IBS IBS 1
HG01620_2 IBS IBS 1
HG01621_1 IBS IBS 1
HG01621_2 IBS IBS 1
HG01622_1 IBS IBS 1
HG01622_2 IBS IBS 1
HG01623_1 IBS IBS 1
HG01623_2 IBS IBS 1
HG01624_1 IBS IBS 1
HG01624_2 IBS IBS 1
HG01625_1 IBS IBS 1
HG01625_2 IBS IBS 1
HG01626_1 IBS IBS 1
HG01626_2 IBS IBS 1
HG01627_1 IBS IBS 1
HG01627_2 IBS IBS 1
HG01628_1 IBS IBS 1
HG01628_2 IBS IBS 1
HG01629_1 IBS IBS 1
HG01629_2 IBS IBS 1
HG01630_1 IBS IBS 1
HG01630_2 IBS IBS 1
HG01631_1 IBS IBS 1
HG01631_2 IBS IBS 1
HG01632_1 IBS IBS 1
HG01632_2 IBS IBS 1
HG01633_1 IBS IBS 1
HG01633_2 IBS IBS 1
HG01667_1 IBS IBS 1
HG01667_2 IBS IBS 1
HG01668_1 IBS IBS 1
HG01668_2 IBS IBS 1
HG01669_1 IBS IBS 1
HG01669_2 IBS IBS 1
HG01670_1 IBS IBS 1
HG01670_2 IBS IBS 1
HG01671_1 IBS IBS 1
HG01671_2 IBS IBS 1
HG01672_1 IBS IBS 1
HG01672_2 IBS IBS 1
HG01673_1 IBS IBS 1
HG01673_2 IBS IBS 1
HG01674_1 IBS IBS 1
HG01674_2 IBS IBS 1
HG01675_1 IBS IBS 1
HG01675_2 IBS IBS 1
HG01676_1 IBS IBS 1
HG01676_2 IBS IBS 1
HG01677_1 IBS IBS 1
HG01677_2 IBS IBS 1
HG01678_1 IBS IBS 1
HG01678_2 IBS IBS 1
HG01679_1 IBS IBS 1
HG01679_2 IBS IBS 1
HG01680_1 IBS IBS 1
HG01680_2 IBS IBS 1
HG01681_1 IBS IBS 1
HG01681_2 IBS IBS 1
HG01682_1 IBS IBS 1
HG01682_2 IBS IBS 1
HG01683_1 IBS IBS 1
HG01683_2 IBS IBS 1
HG01684_1 IBS IBS 1
HG01684_2 IBS IBS 1
HG01685_1 IBS IBS 1
HG01685_2 IBS IBS 1
HG01686_1 IBS IBS 1
HG01686_2 IBS IBS 1
HG01687_1 IBS IBS 1
HG01687_2 IBS IBS 1
HG01694_1 IBS IBS 1
HG01694_2 IBS IBS 1
HG01695_1 IBS IBS 1
HG01695_2 IBS IBS 1
HG01696_1 IBS IBS 1
HG01696_2 IBS IBS 1
HG01697_1 IBS IBS 1
HG01697_2 IBS IBS 1
HG01698_1 IBS IBS 1
HG01698_2 IBS IBS 1
HG01699_1 IBS IBS 1
HG01699_2 IBS IBS 1
HG01700_1 IBS IBS 1
HG01700_2 IBS IBS 1
HG01701_1 IBS IBS 1
HG01701_2 IBS IBS 1
HG01702_1 IBS IBS 1
HG01702_2 IBS IBS 1
HG01703_1 IBS IBS 1
HG01703_2 IBS IBS 1
HG01704_1 IBS IBS 1
HG01704_2 IBS IBS 1
HG01705_1 IBS IBS 1
HG01705_2 IBS IBS 1
HG01706_1 IBS IBS 1
HG01706_2 IBS IBS 1
HG01707_1 IBS IBS 1
HG01707_2 IBS IBS 1
HG01708_1 IBS IBS 1
HG01708_2 IBS IBS 1
HG01709_1 IBS IBS 1
HG01709_2 IBS IBS 1
HG01710_1 IBS IBS 1
HG01710_2 IBS IBS 1
HG01711_1 IBS IBS 1
HG01711_2 IBS IBS 1
HG01746_1 IBS IBS 1
HG01746_2 IBS IBS 1
HG01747_1 IBS IBS 1
HG01747_2 IBS IBS 1
HG01748_1 IBS IBS 1
HG01748_2 IBS IBS 1
HG01755_1 IBS IBS 1
HG01755_2 IBS IBS 1
HG01756_1 IBS IBS 1
HG01756_2 IBS IBS 1
HG01757_1 IBS IBS 1
HG01757_2 IBS IBS 1
HG01761_1 IBS IBS 1
HG01761_2 IBS IBS 1
HG01762_1 IBS IBS 1
HG01762_2 IBS IBS 1
HG01763_1 IBS IBS 1
HG01763_2 IBS IBS 1
HG01765_1 IBS IBS 1
HG01765_2 IBS IBS 1
HG01766_1 IBS IBS 1
HG01766_2 IBS IBS 1
HG01767_1 IBS IBS 1
HG01767_2 IBS IBS 1
HG01768_1 IBS IBS 1
HG01768_2 IBS IBS 1
HG01770_1 IBS IBS 1
HG01770_2 IBS IBS 1
HG01771_1 IBS IBS 1
HG01771_2 IBS IBS 1
HG01772_1 IBS IBS 1
HG01772_2 IBS IBS 1
HG01773_1 IBS IBS 1
HG01773_2 IBS IBS 1
HG01774_1 IBS IBS 1
HG01774_2 IBS IBS 1
HG01775_1 IBS IBS 1
HG01775_2 IBS IBS 1
HG01776_1 IBS IBS 1
HG01776_2 IBS IBS 1
HG01777_1 IBS IBS 1
HG01777_2 IBS IBS 1
HG01778_1 IBS IBS 1
HG01778_2 IBS IBS 1
HG01779_1 IBS IBS 1
HG01779_2 IBS IBS 1
HG01780_1 IBS IBS 1
HG01780_2 IBS IBS 1
HG01781_1 IBS IBS 1
HG01781_2 IBS IBS 1
HG01782_1 IBS IBS 1
HG01782_2 IBS IBS 1
HG01783_1 IBS IBS 1
HG01783_2 IBS IBS 1
HG01784_1 IBS IBS 1
HG01784_2 IBS IBS 1
HG01785_1 IBS IBS 1
HG01785_2 IBS IBS 1
HG01786_1 IBS IBS 1
HG01786_2 IBS IBS 1
HG01789_1 GBR GBR 1
HG01789_2 GBR GBR 1
HG01790_1 GBR GBR 1
HG01790_2 GBR GBR 1
HG01791_1 GBR GBR 1
HG01791_2 GBR GBR 1
HG01794_1 CDX CDX 1
HG01794_2 CDX CDX 1
HG01795_1 CDX CDX 1
HG01795_2 CDX CDX 1
HG01796_1 CDX CDX 1
HG01796_2 CDX CDX 1
HG01797_1 CDX CDX 1
HG01797_2 CDX CDX 1
HG01798_1 CDX CDX 1
HG01798_2 CDX CDX 1
HG01799_1 CDX CDX 1
HG01799_2 CDX CDX 1
HG01800_1 CDX CDX 1
HG01800_2 CDX CDX 1
HG01801_1 CDX CDX 1
HG01801_2 CDX CDX 1
HG01802_1 CDX CDX 1
HG01802_2 CDX CDX 1
HG01804_1 CDX CDX 1
HG01804_2 CDX CDX 1
HG01805_1 CDX CDX 1
HG01805_2 CDX CDX 1
HG01806_1 CDX CDX 1
HG01806_2 CDX CDX 1
HG01807_1 CDX CDX 1
HG01807_2 CDX CDX 1
HG01808_1 CDX CDX 1
HG01808_2 CDX CDX 1
HG01809_1 CDX CDX 1
HG01809_2 CDX CDX 1
HG01810_1 CDX CDX 1
HG01810_2 CDX CDX 1
HG01811_1 CDX CDX 1
HG01811_2 CDX CDX 1
HG01812_1 CDX CDX 1
HG01812_2 CDX CDX 1
HG01813_1 CDX CDX 1
HG01813_2 CDX CDX 1
HG01815_1 CDX CDX 1
HG01815_2 CDX CDX 1
HG01816_1 CDX CDX 1
HG01816_2 CDX CDX 1
HG01817_1 CDX CDX 1
HG01817_2 CDX CDX 1
HG01840_1 KHV KHV 1
HG01840_2 KHV KHV 1
HG01841_1 KHV KHV 1
HG01841_2 KHV KHV 1
HG01842_1 KHV KHV 1
HG01842_2 KHV KHV 1
HG01843_1 KHV KHV 1
HG01843_2 KHV KHV 1
HG01844_1 KHV KHV 1
HG01844_2 KHV KHV 1
HG01845_1 KHV KHV 1
HG01845_2 KHV KHV 1
HG01846_1 KHV KHV 1
HG01846_2 KHV KHV 1
HG01847_1 KHV KHV 1
HG01847_2 KHV KHV 1
HG01848_1 KHV KHV 1
HG01848_2 KHV KHV 1
HG01849_1 KHV KHV 1
HG01849_2 KHV KHV 1
HG01850_1 KHV KHV 1
HG01850_2 KHV KHV 1
HG01851_1 KHV KHV 1
HG01851_2 KHV KHV 1
HG01852_1 KHV KHV 1
HG01852_2 KHV KHV 1
HG01853_1 KHV KHV 1
HG01853_2 KHV KHV 1
HG01855_1 KHV KHV 1
HG01855_2 KHV KHV 1
HG01857_1 KHV KHV 1
HG01857_2 KHV KHV 1
HG01858_1 KHV KHV 1
HG01858_2 KHV KHV 1
HG01859_1 KHV KHV 1
HG01859_2 KHV KHV 1
HG01860_1 KHV KHV 1
HG01860_2 KHV KHV 1
HG01861_1 KHV KHV 1
HG01861_2 KHV KHV 1
HG01862_1 KHV KHV 1
HG01862_2 KHV KHV 1
HG01863_1 KHV KHV 1
HG01863_2 KHV KHV 1
HG01864_1 KHV KHV 1
HG01864_2 KHV KHV 1
HG01865_1 KHV KHV 1
HG01865_2 KHV KHV 1
HG01866_1 KHV KHV 1
HG01866_2 KHV KHV 1
HG01867_1 KHV KHV 1
HG01867_2 KHV KHV 1
HG01868_1 KHV KHV 1
HG01868_2 KHV KHV 1
HG01869_1 KHV KHV 1
HG01869_2 KHV KHV 1
HG01870_1 KHV KHV 1
HG01870_2 KHV KHV 1
HG01871_1 KHV KHV 1
HG01871_2 KHV KHV 1
HG01872_1 KHV KHV 1
HG01872_2 KHV KHV 1
HG01873_1 KHV KHV 1
HG01873_2 KHV KHV 1
HG01874_1 KHV KHV 1
HG01874_2 KHV KHV 1
HG01878_1 KHV KHV 1
HG01878_2 KHV KHV 1
HG01879_1 ACB ACB 1
HG01879_2 ACB ACB 1
HG01880_1 ACB ACB 1
HG01880_2 ACB ACB 1
HG01881_1 ACB ACB 1
HG01881_2 ACB ACB 1
HG01882_1 ACB ACB 1
HG01882_2 ACB ACB 1
HG01883_1 ACB ACB 1
HG01883_2 ACB ACB 1
HG01884_1 ACB ACB 1
HG01884_2 ACB ACB 1
HG01885_1 ACB ACB 1
HG01885_2 ACB ACB 1
HG01886_1 ACB ACB 1
HG01886_2 ACB ACB 1
HG01887_1 ACB ACB 1
HG01887_2 ACB ACB 1
HG01888_1 ACB ACB 1
HG01888_2 ACB ACB 1
HG01889_1 ACB ACB 1
HG01889_2 ACB ACB 1
HG01890_1 ACB ACB 1
HG01890_2 ACB ACB 1
HG01891_1 ACB ACB 1
HG01891_2 ACB ACB 1
HG01892_1 PEL PEL 1
HG01892_2 PEL PEL 1
HG01893_1 PEL PEL 1
HG01893_2 PEL PEL 1
HG01894_1 ACB ACB 1
HG01894_2 ACB ACB 1
HG01895_1 ACB ACB 1
HG01895_2 ACB ACB 1
HG01896_1 ACB ACB 1
HG01896_2 ACB ACB 1
HG01897_1 ACB ACB 1
HG01897_2 ACB ACB 1
HG01898_1 PEL PEL 1
HG01898_2 PEL PEL 1
HG01912_1 ACB ACB 1
HG01912_2 ACB ACB 1
HG01914_1 ACB ACB 1
HG01914_2 ACB ACB 1
